journal,publication_year,title,abstract,keywords,doi,claim,llm_policy_claim
European Journal Of Public Health,2024,The impact of the introduction of tobacco product plain packaging on consumer responses in Ireland: A real-world policy evaluation stratified by socioeconomic groups,"Smoking prevalence remains high in Europe and widening socioeconomic group differences are driving health inequalities. While plain packaging policies disrupt tobacco industry tactics that sustain smoking, evidence of their equity impact is sparse. This study evaluated the implementation of plain packaging in Ireland in 2018 on consumer responses, overall and by the socioeconomic group. Consecutive nationally representative cross-sectional surveys (2018, n = 7701 and 2019, n = 7382) measured changes in 13 consumer responses among respondents who smoked across three domains: product appeal, health warnings effectiveness, and perceived harmfulness of smoking. Multiple logistic regression-derived adjusted odds ratios with 95% confidence intervals to compare responses post- versus pre-implementation adjusting for age, gender, educational level, and heaviness of smoking. A stratified analysis examined changes by socioeconomic group indexed using educational level. There were statistically significant changes in consumer responses to plain packaging policy implementation across 7/13 outcomes studied. Five changes were aligned with expected policy impacts (2/6 product appeal outcomes and 3/4 health warning effectiveness outcomes). Two responses were also observed which were not expected policy impacts (1 appeal-related and 1 perceived harm-related outcome). There was no change in five outcomes. Differences in consumer responses between educational groups were generally small, mixed in nature, and indistinguishable when interval estimates of effect were compared. Implementation of plain packaging in Ireland had intended impacts on consumer responses. Including plain packaging requirements in revising the European Union's legislative frameworks for tobacco control will help build progress towards a Tobacco-Free Europe without exacerbating smoking inequalities.",[],10.1093/eurpub/ckae128,1,True
American Journal Of Preventive Medicine,2024,Estimating the Population Newly Eligible for the Pneumococcal Conjugate Vaccine,"Introduction: Recommendations for adult pneumococcal vaccination in the U.S. were revised in 2022 after the introduction of 15- and 20-valent pneumococcal conjugate vaccines (PCV15 and PCV20) to call for routine PCV use among immunocompetent adults with risk conditions aged 19–64 years. The present study estimated the size of this newly recommended population. Methods: A retrospective cohort study was conducted using the Optum de-identified electronic health record (EHR) dataset. Patients who were active in the EHR between January 2016 and June 2021 and had ≥1 condition included in the current pneumococcal recommendation without an immunocompromising condition were included. Data were weighted to account for potential differences between the EHR and U.S. population. Data analyses were conducted in 2022. Results: Of 45.6 million adults aged 19–64 years in the database, 12.5 million met inclusion criteria and had ≥1 qualifying condition, primarily smoking, with chronic lung disease/asthma and/or diabetes also common. After weighting, the U.S. population aged 19–64 years newly eligible for PCVs was approximately 56 million. Conclusions: Approximately one in four U.S. adults aged <65 years is now recommended to receive PCV15 or PCV20, which highlights the need for providers to assess vaccination status, administer the vaccine, or refer patients as appropriate, as well as the need for tools to facilitate patient identification and vaccination.",[],10.1016/j.amepre.2023.09.002,1,True
Preventive Medicine,2021,Associations between neighbourhood built characteristics and sedentary behaviours among Canadian men and women: findings from Alberta's Tomorrow Project,"Evidence of associations between neighbourhood built characteristics and sedentary behaviours is mixed. The study aim was to investigate the associations between objectively-derived neighbourhood built characteristics and self-reported sedentary behaviours among Canadian men and women. This study sourced survey data from Alberta's Tomorrow Project (2008; n = 14,785), in which sitting and motor vehicle travel times during the last 7 days was measured. Geographic Information System was used to calculate neighbourhood built characteristics within a 400 m buffer of participant's home and a walkability score was estimated. To estimate the associations between neighbourhood characteristics and sedentary behaviours, covariate-adjusted generalized linear regression models were used. Walkability, 3-way intersections, and population count were positively associated with sitting time. Business destinations and greenness were negatively associated with sitting time. Walkability, 3-way, and 4-way intersections were negatively associated with motor vehicle travel time. Sex-specific associations between neighbourhood characteristics and sedentary behaviour were found. Among men, business destinations were negatively associated with sitting time, and 3-way intersections, population count, and walkability were negatively associated with motor vehicle travel time. Among women, Normalized Difference Vegetation Index was negatively associated with sitting time. Interventions to reduce sedentary behaviours may need to target neighbourhoods that have built characteristics which might support these behaviours. More research is needed to disentangle the complex relationships between different neighbourhood built characteristics and specific types of sedentary behaviour.","['Built environment', 'Motor vehicle travel time', 'Neighbourhood', 'Sedentary behaviour', 'Sitting time', 'Walkability']",10.1016/j.ypmed.2021.106663,1,True
American Journal Of Preventive Medicine,2023,Changes in Household Challenges and Subsequent Child Welfare Report,"Introduction: Preventing child maltreatment and reducing adverse childhood experiences is critical for improving adult health. To inform prevention efforts, it is necessary to move beyond static risk models and instead model the dynamic changes in household challenges during the prebirth and early childhood periods. This study examined the effect of changes in the number of household challenges from prebirth (12 months before birth of a child) to early childhood (3 years after birth) period on the risk of a child maltreatment report by age 3 years. Methods: This retrospective cohort study linked data from the Alaska 2009–2011 Pregnancy Risk Assessment Monitoring System, its 3-year follow-up survey, and administrative records through 2019. Participants were 1,699 birthing parents. Latent class analyses identified prebirth and early childhood low- and high-challenge respondent groups on the basis of the level of reported household challenges. The authors then modeled the relationships between group transition membership and the risk of maltreatment using latent transition analysis. Analyses were conducted in 2021. Results: Households transitioning from a high-challenge-prebirth status to a low-challenge-early-childhood status had a lower predicted risk for child services report than households remaining in the high-challenges group. Transitioning from low- to high-challenges status predicted the highest risk for child services report than that of all other groups. Conclusions: To reduce the risk of child maltreatment and subsequent adverse childhood experiences, healthcare providers should screen parents for the presence of household challenges during both pregnancy and early childhood and connect patients to resources targeted at reducing those challenges and providing continuous familial support.",[],10.1016/j.amepre.2022.12.009,1,True
European Journal Of Public Health,2020,The perception of youth health centres' friendliness: Does it differ between immigrant and Swedish-Scandinavian youths?,"Background: Ensuring a good quality service and equal access according to need for all young people is a key objective of the Swedish health system. The aim of this study was to explore youths' perception of youth health centres' (YHCs') friendliness and to assess the differences in perception between immigrant and Swedish-Scandinavian youths. Methods: All YHCs in the four northern counties in Sweden were invited (22 centres), and 20 agreed to participate. Overall, 1089 youths aged 16-25 years answered the youth-friendly health services-Sweden questionnaire between September 2016 and February 2017. Thirteen sub-domains of friendliness were identified and their scores were calculated. Multilevel analysis was used to examine the differences in perception between immigrant and Swedish-Scandinavian youths. Results: Our sample consisted of 971 Swedish-Scandinavian youths (89.2%) and 118 immigrants (10.8%). Generally, both groups perceived the services to be very friendly. All 13 sub-domains were rated more than three in a four-point scale except for fear of exposure and parental support of psychosocial services. However, immigrant youths perceived YHCs less friendly than their counterparts, particularly regarding the domains of equity, respect, quality and parental support. Conclusions: Our study suggests that even though youths perceived YHCs as highly friendly, there is a space for improvement regarding access to health care. Our findings highlight the importance of an open and culturally sensitive attitude of the staff and the need to engage parents and community as a key to improve immigrant youths' accessibility to health care.",[],10.1093/eurpub/ckaa077,1,True
European Journal Of Epidemiology,2021,The impact of non-pharmaceutical interventions on COVID-19 epidemic growth in the 37 OECD member states,"We estimated the impact of a comprehensive set of non-pharmeceutical interventions on the COVID-19 epidemic growth rate across the 37 member states of the Organisation for Economic Co-operation and Development during the early phase of the COVID-19 pandemic and between October and December 2020. For this task, we conducted a data-driven, longitudinal analysis using a multilevel modelling approach with both maximum likelihood and Bayesian estimation. We found that during the early phase of the epidemic: implementing restrictions on gatherings of more than 100 people, between 11 and 100 people, and 10 people or less was associated with a respective average reduction of 2.58%, 2.78% and 2.81% in the daily growth rate in weekly confirmed cases; requiring closing for some sectors or for all but essential workplaces with an average reduction of 1.51% and 1.78%; requiring closing of some school levels or all school levels with an average reduction of 1.12% or 1.65%; recommending mask wearing with an average reduction of 0.45%, requiring mask wearing country-wide in specific public spaces or in specific geographical areas within the country with an average reduction of 0.44%, requiring mask-wearing country-wide in all public places or all public places where social distancing is not possible with an average reduction of 0.96%; and number of tests per thousand population with an average reduction of 0.02% per unit increase. Between October and December 2020 work closing requirements and testing policy were significant predictors of the epidemic growth rate. These findings provide evidence to support policy decision-making regarding which NPIs to implement to control the spread of the COVID-19 pandemic.","['COVID-19', 'Generalized linear mixed models', 'Linear mixed models', 'Longitudinal analysis', 'Non-pharmaceutical interventions', 'OECD']",10.1007/s10654-021-00766-0,1,True
Journal Of Epidemiology And Community Health,2024,"Time poverty, health and health-related behaviours in a Southern European city: A gender issue","Background Despite its growing interest, time poverty is a neglected issue in public health analysis and policies. The objectives of this study were: (1) to analyse gender differences in paid, unpaid and total working time; (2) to identify gender differences in the factors related to time poverty; and (3) to examine gender differences in the relationship between time poverty, health and health-related behaviours in the city of Barcelona (Spain). Methods Cross-sectional study based on salaried workers aged 16-64 years interviewed in the 2021 Barcelona Health Survey (695 men and 713 women). Time poverty was defined as the top tercile of the total paid and unpaid work. Dependent variables were self-perceived health status, mental health, sleep time, sleep quality and leisure time physical activity. Results Women were more likely to be time poor. In both sexes, time poverty was related to the number of children. Whereas among men time poverty was not associated with any health indicators, among women it was related to poor mental health status (aOR=2.11, 95% CI 1.39 to 3.20), short sleep (aOR=1.54, 95% CI 1.05 to 2.25), poor sleep quality (aOR=1.83, 95% CI 1.25 to 2.68) and low leisure time physical activity (aOR=1.50, 95% CI 1.00 to 2.26). Conclusions This study suggests that time use can be an important social determinant of health and of gender inequalities in health. At the local level, in many European cities, time poverty could be reduced, among other interventions, by increasing affordable and good quality public services for the care of dependent persons.","['employment', 'health', 'health inequalities', 'poverty']",10.1136/jech-2023-220750,1,True
American Journal Of Preventive Medicine,2024,Unique Breast Cancer Screening Disparities in a Safety-Net Health System,"Introduction: Breast cancer screening (BCS) disparities leave historically underserved groups more vulnerable to adverse outcomes. This study explores granular associations between BCS and patient sociodemographic factors in a large urban safety-net health system. Methods: A retrospective review among female patients ages 50–74 within an urban safety-net health system was conducted in 2019. All patients had a primary care visit in the past 2 years. Multiple patient health and sociodemographic characteristics were reviewed, as well as provider gender and specialty. Bivariate analyses and multivariable logistic regression were performed in 2022. Results: The BCS rate among 11,962 women was 69.7%. Over half of patients were non-White (63.6%) and had public insurance (72.3%). Patients with limited English proficiency made up 44.3% of the cohort. Compared to their sociodemographic counterparts, patients with White race, English proficiency, and Medicare insurance had the lowest rates of BCS. Serious mental illness and substance use disorder were associated with lower odds of BCS. In multivariable analysis, when using White race and English speakers as a reference, most other races (Black, Hispanic, and Other) and languages (Spanish, Portuguese, and Other) had significantly higher odds of screening ranging from 8% to 63% higher, except Asian race and Haitian Creole language. Female (versus male) and internal medicine-trained providers were associated with higher screening odds. Conclusions: Multiple unique variables contribute to BCS disparities, influenced by patient and health system factors. Defining and understanding the interplay of these variables can guide policymaking and identify avenues to improve BCS for vulnerable or traditionally under-resourced populations.",[],10.1016/j.amepre.2023.10.009,1,True
American Journal Of Public Health,2021,Digital Health Engagement in the US Population: Insights From the 2018 Health Information National Trends Survey,"Objectives. To examine prevalence and predictors of digital health engagement among the US population. Methods. We analyzed nationally representative cross-sectional data on 7 digital health engagement behaviors, as well as demographic and socioeconomic predictors, from the Health Information National Trends Survey (HINTS 5, cycle 2, collected in 2018; n 5 2698–3504). We fitted multivariable logistic regression models using weighted survey responses to generate population estimates. Results. Digitally seeking health information (70.14%) was relatively common, whereas using health apps (39.53%) and using a digital device to track health metrics (35.37%) or health goal progress (38.99%) were less common. Digitally communicating with one’s health care providers (35.58%) was moderate, whereas sharing health data with providers (17.20%) and sharing health information on social media (14.02%) were uncommon. Being female, younger than 65 years, a college graduate, and a smart device owner positively predicted several digital health engagement behaviors (odds ratio range 5 0.09–4.21; P value range, .001–.03). Conclusions. Many public health goals depend on a digitally engaged populace. These data highlight potential barriers to 7 key digital engagement behaviors that could be targeted for intervention.",[],10.2105/AJPH.2021.306282,1,True
European Journal Of Public Health,2023,Children with problem-drinking parents in a Swedish national sample: is the risk of harm related to the severity of parental problem drinking?,"Background: The aim of this paper is to examine the link between severity in exposure to parental problem drinking in a Swedish national population sample of children aged 15-16 years. Specifically, we assessed whether the risk of poor health, poor relationships and a problematic school situation increase with severity in exposure to parental problem drinking. Methods: National population survey from 2017 with a representative sample of 5 576 adolescents born in 2001. Logistic regression models were used to estimate odds ratios (ORs) with 95% confidence intervals (95% CIs). A short version of The Children of Alcoholics Screening Test, CAST-6, was used to identify children with problem-drinking parents. Health status, social relations and school situation were assessed by well-established measures. Results: The risk of having poor health, poor school performance and poor social relations increased with severity of parental problem drinking. The risk was lowest among children least severely affected (Crude models ranged from OR: 1.2, 95% CI 1.0-1.4 to OR: 2.2, 95% CI 1.8-2.6) and highest among children most severely affected (Crude models ranges from OR: 1.7, 95% CI 1.3-2.1 to OR: 6.6, 95% CI 5.1-8.6). The risk became lower when adjusting for gender and socioeconomic position but were still higher compared to children without problem-drinking parents. Conclusions: Appropriate screening and intervention programs are necessary for children with problem-drinking parents especially when exposure is severe but also at mild forms of exposure.",[],10.1093/eurpub/ckad022,1,True
American Journal Of Public Health,2024,The Influence of a COVID-19 Vaccine Mandate on Vaccination Rates in a University Setting,"We surveyed (September 9–17, 2021) students, staff, and faculty at the University of Minnesota, a large, highly vaccinated university, to evaluate whether the COVID-19 vaccine mandate increased self-reported vaccine uptake. Vaccine mandates have the potential to improve public health but should consider the context of implementation and costs associated with infringements on personal choice. Policymakers need to be equipped with data to inform decisions about vaccine mandates in light of contextual factors and potential backlash affecting public health interventions.",[],10.2105/AJPH.2024.307804,1,True
The Lancet Public Health,2023,"Uptake of invitations to a lung health check offering low-dose CT lung cancer screening among an ethnically and socioeconomically diverse population at risk of lung cancer in the UK (SUMMIT): a prospective, longitudinal cohort study","Background: Lung cancer screening with low-dose CT reduces lung cancer mortality, but screening requires equitable uptake from candidates at high risk of lung cancer across ethnic and socioeconomic groups that are under-represented in clinical studies. We aimed to assess the uptake of invitations to a lung health check offering low-dose CT lung cancer screening in an ethnically and socioeconomically diverse cohort at high risk of lung cancer. Methods: In this multicentre, prospective, longitudinal cohort study (SUMMIT), individuals aged 55–77 years with a history of smoking in the past 20 years were identified via National Health Service England primary care records at practices in northeast and north-central London, UK, using electronic searches. Eligible individuals were invited by letter to a lung health check offering lung cancer screening at one of four hospital sites, with non-responders re-invited after 4 months. Individuals were excluded if they had dementia or metastatic cancer, were receiving palliative care or were housebound, or declined research participation. The proportion of individuals invited who responded to the lung health check invitation by telephone was used to measure uptake. We used univariable and multivariable logistic regression analyses to estimate associations between uptake of a lung health check invitation and re-invitation of non-responders, adjusted for sex, age, ethnicity, smoking, and deprivation score. This study was registered prospectively with ClinicalTrials.gov, NCT03934866. Findings: Between March 20 and Dec 12, 2019, the records of 2 333 488 individuals from 251 primary care practices across northeast and north-central London were screened for eligibility; 1 974 919 (84·6%) individuals were outside the eligible age range, 7578 (2·1%) had pre-existing medical conditions, and 11 962 (3·3%) had opted out of particpation in research and thus were not invited. 95 297 individuals were eligible for invitation, of whom 29 545 (31·0%) responded. Due to the COVID-19 pandemic, re-invitation letters were sent to only a subsample of 4594 non-responders, of whom 642 (14·0%) responded. Overall, uptake was lower among men than among women (odds ratio [OR] 0·91 [95% CI 0·88–0·94]; p<0·0001), and higher among older age groups (1·48 [1·42–1·54] among those aged 65–69 years vs those aged 55–59 years; p<0·0001), groups with less deprivation (1·89 [1·76–2·04] for the most vs the least deprived areas; p<0·0001), individuals of Asian ethnicity (1·14 [1·09–1·20] vs White ethnicity; p<0·0001), and individuals who were former smokers (1·89 [1·83–1·95] vs current smokers; p<0·0001). When ethnicity was subdivided into 16 groups, uptake was lower among individuals of other White ethnicity than among those with White British ethnicity (0·86 [0·83–0·90]), whereas uptake was higher among Chinese, Indian, and other Asian ethnicities than among those with White British ethnicity (1·33 [1·13–1·56] for Chinese ethnicity; 1·29 [1·19–1·40] for Indian ethnicity; and 1·19 [1·08–1·31] for other Asian ethnicity). Interpretation: Inviting eligible adults for lung health checks in areas of socioeconomic and ethnic diversity should achieve favourable participation in lung cancer screening overall, but inequalities by smoking, deprivation, and ethnicity persist. Reminder and re-invitation strategies should be used to increase uptake and the equity of response. Funding: GRAIL.",[],10.1016/S2468-2667(22)00258-4,1,True
American Journal Of Preventive Medicine,2022,"Appropriateness of Antibiotic Prophylaxis Before Dental Procedures, 2016–2018","Introduction: Prescribing antibiotic prophylaxis is common yet unnecessary for many dental visits. In this analysis, our objective was to assess whether the appropriateness of antibiotic prophylaxis has improved over time. Methods: A retrospective cohort study was conducted using dental visits from 2016 to 2018 (data analyzed in 2021) using medical and prescriptions claims data of patients from the U.S. with commercial dental insurance. Antibiotic prophylaxis was defined as a ≤2 days’ supply prescription dispensed within 7 days before a dental visit. Appropriateness of prophylaxis was defined on the basis of the manipulation of the gingiva/tooth periapex or oral mucosa perforation in patients with appropriate cardiac diagnoses. Associations between patient and visit characteristics and appropriateness of antibiotic prophylaxis were assessed using multiple Poisson regression. Results: Unnecessary antibiotic prophylaxis was highly prevalent in this cohort, ranging from 77.0% in 2016 to 78.5% in 2018. In the adjusted analysis, factors associated with unnecessary antibiotic prophylaxis included younger age, female sex, geographic region, rurality, type of antibiotic, and certain dental procedures. The factors associated with the highest risk of unnecessary prophylaxis in the adjusted analysis were orthodontic procedures and having a history of a prosthetic joint. Notably, the risk of unnecessary antibiotic prophylaxis decreased over time in the adjusted analysis. Conclusions: Unnecessary prescription of antibiotic prophylaxis by dentists continues to be common. Antimicrobial stewardship strategies are needed to improve prescribing by dentists.",[],10.1016/j.amepre.2021.11.004,1,True
Preventive Medicine,2024,Increasing awareness for dementia risk reduction through a public awareness campaign in Denmark: A pre-post study,"Objective: It is estimated that about 40% of all dementia cases are potentially attributable to modifiable risk factors, but awareness of this is relatively lacking. Methods: An 18-months nation-wide public awareness campaign on dementia risk reduction was rolled out in Denmark that combined a mass-media approach with an online risk assessment tool and knowledge bank targeting all inhabitants aged between 40 and 75 years. Campaign effects (increase in awareness and knowledge of modifiable dementia risk and protective factors) were assessed via online surveys in two independent random samples before (n = 1003) and after the campaign (n = 1076). Results: After adjusting for differences in educational level between the two samples, there was no significant difference in awareness of dementia risk reduction between the pre-campaign (66.5% aware) and post-campaign (63.4% aware) sample (probit z = −0.08, p = 0.151). The number of correctly identified risk/protective factors was significantly higher in the post-campaign sample. After adjusting for potential confounding factors, self-reported exposure to the campaign was associated with more awareness, better recognition of risk/protective factors, more motivation for and actual implementation of lifestyle changes. Conclusions: This mass-media campaign did not increase overall awareness that dementia risk is partly modifiable. However, exposure to the campaign was associated with more awareness and willingness to take action to improve brain health. Future campaigns should tailor messages to specific subgroups to broaden the reach (e.g., males), co-create materials with the target group, and give special attention to the contribution of metabolic/cardiovascular risk factors to dementia risk.","['Awareness', 'Brain health', 'Dementia', 'Health promotion', 'Knowledge', 'Lifestyle', 'Prevention', 'Public health', 'Risk factor', 'Risk reduction']",10.1016/j.ypmed.2024.107848,1,True
International Journal Of Epidemiology,2021,HOSTED-England's household transmission evaluation dataset: Preliminary findings from a novel passive surveillance system of COVID-19,"Background: Household transmission of SARS-CoV-2 is an important component of the community spread of the pandemic. Little is known about the factors associated with household transmission, at the level of the case, contact or household, or how these have varied over the course of the pandemic. Methods: The Household Transmission Evaluation Dataset (HOSTED) is a passive surveillance system linking laboratory-confirmed COVID-19 cases to individuals living in the same household in England. We explored the risk of household transmission according to: age of case and contact, sex, region, deprivation, month and household composition between April and September 2020, building a multivariate model. Results: In the period studied, on average, 5.5% of household contacts in England were diagnosed as cases. Household transmission was most common between adult cases and contacts of a similar age. There was some evidence of lower transmission rates to under-16s [adjusted odds ratios (aOR) 0.70, 95% confidence interval (CI) 0.66-0.74). There were clear regional differences, with higher rates of household transmission in the north of England and the Midlands. Less deprived areas had a lower risk of household transmission. After controlling for region, there was no effect of deprivation, but houses of multiple occupancy had lower rates of household transmission [aOR 0.74 (0.66-0.83)]. Conclusions: Children are less likely to acquire SARS-CoV-2 via household transmission, and consequently there was no difference in the risk of transmission in households with children. Households in which cases could isolate effectively, such as houses of multiple occupancy, had lower rates of household transmission. Policies to support the effective isolation of cases from their household contacts could lower the level of household transmission.","['Household transmission', 'Passive surveillance', 'SARS-CoV-2 COVID-19']",10.1093/ije/dyab057,1,True
Journal Of Epidemiology And Community Health,2020,The effect of welfare reform on the health of the unemployed: Evidence from a natural experiment in Germany,"Background Over the past several decades, governments have enacted far-reaching reforms aimed at reducing the generosity and coverage of welfare benefits. Prior literature suggests that these policy measures may have deleterious effects on the health of populations. In this study, we evaluate the impact of one of the largest welfare reforms in recent history-the 2005 Hartz IV reform in Germany-with a focus on estimating its effect on the health of the unemployed. Methods We employed a quasi-experimental difference-in-differences (DID) design using population-based data from the German Socio-Economic Panel Study, covering the period between 1994 and 2016. We applied DID linear probability modelling to examine the association between the Hartz IV reform and poor self-rated health, adjusting for a range of demographic and socioeconomic confounders. Results The Hartz IV reform was associated with a 3.6 (95% CI 0.9 to 6.2) percentage point increase in the prevalence of poor self-rated health among unemployed persons affected by the reform relative to similar but unaffected controls. This negative association appeared immediately following the implementation of the reform and has persisted over time. Conclusion Governments in numerous European and North American jurisdictions have introduced measures to further diminish the generosity and coverage of welfare benefits. In line with growing concerns over the potential consequences of austerity and associated policy measures, our findings suggest that these reform efforts pose a threat to the health of socioeconomically disadvantaged populations.","['health inequalities', 'policy', 'self-rated health', 'social epidemiology', 'socio-economic']",10.1136/jech-2019-213151,1,True
Preventive Medicine,2023,Urban-rural health disparities in Brazil: Do sociodemographic attributes play a role?,"The debate over urban-rural health disparities in Latin American countries is disputed, and this relationship may not be as straightforward as initially thought. In this study, we investigate whether individual-level self-rated health (SRH) varies across urban and rural populations in the country and how sociodemographic attributes are associated with such differences. We relied on data from the Brazilian National Health Survey (n = 78,806), a nationwide household-based survey conducted in 2019 that is representative of Brazil, geopolitical macro-regions, states, and 27 state capitals. Logistic regression models were used to test for differences in SRH between urban and rural inhabitants. The findings suggest that Brazilian adults living in rural areas are at a higher risk of perceiving their health as poor than their urban counterparts. The urban-rural health disparities are significant and influenced by sociodemographic attributes, highlighting the importance of developing public health interventions to improve health outcomes in these populations.","['Brazil', 'National Health Survey', 'Self-rated health', 'Sociodemographic attributes', 'Urban-rural health disparities']",10.1016/j.ypmed.2023.107679,1,True
American Journal Of Public Health,2021,"Blood donation and COVID-19: Reconsidering the 3-month deferral policy for gay, bisexual, transgender, and other men who have sex with men","In April 2020, in light of COVID-19-related blood shortages, the US Food and Drug Administration (FDA) reduced the deferral period for men who have sex with men (MSM) from its previous duration of 1 year to 3 months. Although originally born out of necessity, the decades-old restrictions on MSM donors have been mitigated by significant advancements in HIV screening, treatment, and public education. The severity of the ongoing COVID-19 pandemic - and the urgent need for safe blood products to respond to such crises - demands an immediate reconsideration of the 3-month deferral policy for MSM. We review historical HIV testing and transmission evidence, discuss the ethical ramifications of the current deferral period, and examine the issue of noncompliance with donor deferral rules. We also propose an eligibility screening format that involves an individual risk-based screening protocol and, unlike current FDA guidelines, does not effectively exclude donors on the basis of gender identity or sexual orientation. Our policy proposal would allow historically marginalized community members to participate with dignity in the blood donation process without compromising blood donation and transfusion safety outcomes. (Am J Public Health. 2021;111:247-252. https://doi.org/10.2105/ AJPH.2020.305974).",[],10.2105/AJPH.2020.305974,1,True
Preventive Medicine,2022,"Forgoing healthcare during the COVID-19 pandemic in Geneva, Switzerland – A cross-sectional population-based study","Background: Health systems around the world continue to navigate through operational challenges surfaced by the coronavirus disease 2019 (COVID-19) pandemic; these have implications for access to healthcare. In this study, we estimate the prevalence and reasons for forgoing healthcare during the pandemic in Geneva, Switzerland; a country with a universal and mandatory private health insurance coverage. Methods: Participants from a randomly selected population-based sample of the adult population living in the Canton of Geneva completed an online socio-demographic and lifestyle questionnaire between November 2020 and January 2021. The prevalence and reasons for forgoing healthcare since the beginning of the COVID-19 pandemic were examined descriptively, and logistic regression models were used to assess determinants for forgoing healthcare. Results: The study included 5397 participants, among which 8.0% reported having forgone healthcare since the beginning of the COVID-19 pandemic; participants with a disadvantaged financial situation (OR = 2.04; 95% CI: 1.56–2.65), and those reporting an average (OR = 2.54; 95% CI: 1.94–3.31) or poor health (OR = 4.40; 95% CI: 2.39–7.67) were more likely to forgo healthcare. The most common reasons to forgo healthcare were appointment cancellations by healthcare providers (53.9%), fear of infection (35.3%), and personal organizational issues (11.1%). Conclusion: Our paper highlights the effects of the COVID-19 pandemic on access to healthcare and identifies population sub-groups at-risk for forgoing healthcare. These results necessitate public health efforts to ensure equitable and accessible healthcare as the COVID-19 pandemic continues.","['Access to healthcare', 'COVID-19 pandemic', 'Forgoing healthcare', 'Health equity']",10.1016/j.ypmed.2022.106987,1,True
American Journal Of Public Health,2020,"Unmet social needs and adherence to pediatric weight management interventions: Massachusetts, 2017–2019","Objectives. To examine effects of unmet social needs on adherence to pediatric weight management intervention (PWMI). Methods. We examined individual associations of positive screens for parental stress, parental depression, food insecurity, and housing insecurity with intervention adherence, and associations of 0, 1 or 2, and 3 or 4 unmet social needs with adherence, among children enrolled in a 2017–2019 comparative effectiveness trial for 2 high-intensity PWMIs in Massachusetts. Models were adjusted for child age, body mass index (BMI), parent BMI, and intervention arm. Results. Families with versus without housing insecurity received a mean of 5.3 (SD = 8.0) versus 8.3 (SD = 10.9) contact hours (P < .01). There were no statistically significant differences in adherence for families reporting other unmet social needs. Children with 3 to 4 unmet social needs versus without received a mean of 5.2 (SD = 8.1) versus 9.2 (SD = 11.8) contact hours (P < .01). In fully adjusted models, those with housing insecurity attended a mean difference of –3.14 (95% confidence interval [CI] = –5.41, –0.88) hours versus those without. Those with 3 or 4 unmet social needs attended –3.74 (95% CI = –6.64, –0.84) hours less than those with none. Conclusions. Adherence to PWMIs was lower among children with housing insecurity and in families with 3 or 4 unmet social needs. Addressing social needs should be a priority of PWMIs to improve intervention adherence and reduce disparities in childhood obesity.",[],10.2105/AJPH.2020.305772,1,True
American Journal Of Public Health,2022,"Trends and Variation in the Gap between Current and Anticipated Life Satisfaction in the United States, 2008–2020","Objectives. To describe national- and county-level trends and variation in a novel measure of hope. Methods. Using data from the Gallup National Health and Well-Being Index (n 5 2 766 728), we summarized the difference between anticipated life satisfaction (ALS) and current life satisfaction (CLS), measured by the Cantril Self-Anchoring Scale, for each year from 2008 to 2020 and by county over two 5-year periods in the United States. Results. Across all years, there was a significant positive trend in the difference between ALS and CLS for the nation (P 5 .024), which remained positive but not significant when we excluded 2020. Maintenance of ALS with a decrease in CLS drove the 2020 increase. From 2008–2012 to 2013–2017, 14.5% of counties with 300 or more responses (n 5 599) experienced an increase in the difference of more than 1 SD, whereas 13.9% experienced a more than 1 SD decrease. Fifty-two counties experienced decreases in ALS and CLS. Conclusions. Responding to trends in the gap between ALS and CLS at national and local levels is essential for the collective well-being of our nation, especially as we navigate and emerge from crisis.",[],10.2105/AJPH.2021.306589,1,True
